attack,defense1,defense2,multiplier
Normal,Normal,,1.0
Fire,Normal,,1.0
Water,Normal,,1.0
Electric,Normal,,1.0
Grass,Normal,,1.0
Ice,Normal,,1.0
Fighting,Normal,,2.0
Poison,Normal,,1.0
Ground,Normal,,1.0
Flying,Normal,,1.0
Psychic,Normal,,1.0
Bug,Normal,,1.0
Rock,Normal,,1.0
Ghost,Normal,,0.0
Dragon,Normal,,1.0
Dark,Normal,,1.0
Steel,Normal,,1.0
Fairy,Normal,,1.0
Normal,Normal,Fire,1.0
Fire,Normal,Fire,0.5
Water,Normal,Fire,2.0
Electric,Normal,Fire,1.0
Grass,Normal,Fire,0.5
Ice,Normal,Fire,0.5
Fighting,Normal,Fire,2.0
Poison,Normal,Fire,1.0
Ground,Normal,Fire,2.0
Flying,Normal,Fire,1.0
Psychic,Normal,Fire,1.0
Bug,Normal,Fire,0.5
Rock,Normal,Fire,2.0
Ghost,Normal,Fire,0.0
Dragon,Normal,Fire,1.0
Dark,Normal,Fire,1.0
Steel,Normal,Fire,0.5
Fairy,Normal,Fire,0.5
Normal,Normal,Water,1.0
Fire,Normal,Water,0.5
Water,Normal,Water,0.5
Electric,Normal,Water,2.0
Grass,Normal,Water,2.0
Ice,Normal,Water,0.5
Fighting,Normal,Water,2.0
Poison,Normal,Water,1.0
Ground,Normal,Water,1.0
Flying,Normal,Water,1.0
Psychic,Normal,Water,1.0
Bug,Normal,Water,1.0
Rock,Normal,Water,1.0
Ghost,Normal,Water,0.0
Dragon,Normal,Water,1.0
Dark,Normal,Water,1.0
Steel,Normal,Water,0.5
Fairy,Normal,Water,1.0
Normal,Normal,Electric,1.0
Fire,Normal,Electric,1.0
Water,Normal,Electric,1.0
Electric,Normal,Electric,0.5
Grass,Normal,Electric,1.0
Ice,Normal,Electric,1.0
Fighting,Normal,Electric,2.0
Poison,Normal,Electric,1.0
Ground,Normal,Electric,2.0
Flying,Normal,Electric,0.5
Psychic,Normal,Electric,1.0
Bug,Normal,Electric,1.0
Rock,Normal,Electric,1.0
Ghost,Normal,Electric,0.0
Dragon,Normal,Electric,1.0
Dark,Normal,Electric,1.0
Steel,Normal,Electric,0.5
Fairy,Normal,Electric,1.0
Normal,Normal,Grass,1.0
Fire,Normal,Grass,2.0
Water,Normal,Grass,0.5
Electric,Normal,Grass,0.5
Grass,Normal,Grass,0.5
Ice,Normal,Grass,2.0
Fighting,Normal,Grass,2.0
Poison,Normal,Grass,2.0
Ground,Normal,Grass,0.5
Flying,Normal,Grass,2.0
Psychic,Normal,Grass,1.0
Bug,Normal,Grass,2.0
Rock,Normal,Grass,1.0
Ghost,Normal,Grass,0.0
Dragon,Normal,Grass,1.0
Dark,Normal,Grass,1.0
Steel,Normal,Grass,1.0
Fairy,Normal,Grass,1.0
Normal,Normal,Ice,1.0
Fire,Normal,Ice,2.0
Water,Normal,Ice,1.0
Electric,Normal,Ice,1.0
Grass,Normal,Ice,1.0
Ice,Normal,Ice,0.5
Fighting,Normal,Ice,4.0
Poison,Normal,Ice,1.0
Ground,Normal,Ice,1.0
Flying,Normal,Ice,1.0
Psychic,Normal,Ice,1.0
Bug,Normal,Ice,1.0
